col01,col02,col03,col04,col05,col06,col07,col08,col09,col10,col11,col12,col13,col14,col15,col16
2  500,"M a r k d o r f ,   G e h r e n b e r g -B o t e ........................... ....",,6,46,6,5,B,90,15,A,410,280,2400,+,
1  807,"M e e r s h u r g ,   M eersburger-G em eindeblatfr-siefte",,,,,,,,,,,,,,
,_Ühßr-Iäwgen,,,,,,,,,,,,,,
2  300,"M e ß k i r c k ,   H eu b efger  V o l k s b l a t t .......................",2  030,6,46,6,5,G,92,20,A,444,282,2664,O,18
,M eßkircher  Zeitung'.  O b erb a disch er  G ienzbote  .,836,6,46,6,4,P,90,12,A,400,279,2400,+,40
,,,,,,,,,,,,,,,
4  700,"M o s b a c h ,   B ä d is eh e=N eckarzei tung  . . . . .",950,6,46,6,4,K,93,12,A,,415 280,2190,+,20
,"BeiläffefiBilddettüche BBlRer,-Stuttgart  (W ttbg .)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"M osbacher  -  -V olk sb latt.  M ndaner  V olk sbote,",,,,,,,,,,,,,,
,E c h o -v e n s d e r  « t a g s t - .   .  .  .  .  • • • • • •,1  220,6,46,6,4,K,70,9,A,415,285,2400,+,20
4 000,"M i l l l h e i m   i .   B a d . ,   M i*tkgrä{l6fc.Nachrichten",5  490,6,46,6,6,P,72,18,A,425,296,2550,+,30
,Siehe  A nzeige  S . 178,,,,,,,,,,,,,,
,O berrheinischer  A nzeiger  .  .  ................................,460,6,46,6,5,P,90,15,A,425,280,2550,+,20
,N e c k a r a u    siehe   MaiinlieiBi-a^eckarau,,,,,,,,,,,,,,
2  200,"N e c k a r h i s c h o f s h e i m ,   D er  V o lk s b o t e .  .  .",,3,46,5,3,K,72,10,A,370,232,1850,+,30
3 300,"N e e k a r g e m ü n d ,   Ile r  N o c k c r b o t e ..................",1  000,2,46,6,3,G,90,9,A,430,290,2580,+,30
5 000,"N e u s t a d t   i .   S c h w a r z w . ,   H o«hsc,hwarzwald.",,,,,,,,,,,,,,
,E c h o v o m '-B o c b X ix s l,2 200,6,46,6,4,P,67,12,A,,420 280,2520,+,
3  322,"N i e f e r n ,   N ieferner  ^ o k a l- A n z e i g e r   siehe",,,,,,,,,,,,,,
,P forz h eim,,,,,,,,,,,,,,
3  701,"N u ß l o c h ,   N u ß loch er  A n zeig er   siehe   Leim en",,,,,,,,,,,,,,
5 000,"O b e r k i r c h ,   D er-R em ähftlfii,  . . . . . .   •  •",1  600,6,46,6,6,P,90,18,A,,425 283,2550,+,
,S ieh e  A n zeig e  S . 199,,,,,,,,,,,,,,
,R enehtal-Z eibu ng  .  .  .  S iehe  A nzeige  S. 199,2  850,6,46,6,6,P,68,18,A,,440 283,2640,+,
18  300,"O f f e n b u r g ,   O ifenburger  T a g eb la tt.  Orte-",,,,,,,,,,,,,,
,n a u er  B o t e .................................... .  •  •  •  •  •  :,5  720,6,22,12,6,P,69,27,,,430 279,5160,+,30
,"Nebenausg .:    A n zeiger  vom   K inzigtal,  Haslach",,,,,,,,,,,,,,
,S ieh e  A n zeig e  S . 200,,,,,,,,,,,,,,
,O ifenburger  Z e i t u r f g ......................................... ....   •,4 575,6,22,12,6,P,68,27,A,,425 279,5100,+,25
,B e i  gleichz.  A u fg .  in   den  Bezirksausgaben,,,,,,,,,,,,,,
,"K in zigtäler  Nachrichten,  Haslach  und",,,,,,,,,,,,,,
,"W otfach er  Volksblatt  m m    7  R p t,   B ekl.  mm",,,,,,,,,,,,,,
,"31  R p f    ,   Siehe  A nzeige  S . 201",,,,,,,,,,,,,,
2  110,"O p p e n a u ,   V erk ü n A g n n g a H ätt , f ü r j i a s , .^ r f t h -",,,,,,,,,,,,,,
,s pieb O lfflen a u   .  .  T i r - r - r - r ...........................,,1,93,2,G,G,,,,,270 210,540,o,
